,,,,,,,,,,,,,,
"Progress of PNG D, CNG and Pipeline (inch-km) in the Country - March  2025",,,,,,,,,,,,,,
,,,,,,Actual Progress vis-à-vis MWP Targets as on 31.3.2025,,,,,,,,
S.No,GA ID,Geographical Area/ CGD Networks,State/ Union Territory,Authorized CGD Entity,Date of Authorization,PNG Domestic Connections (Nos.),,,CNG Stations (Nos.),,, Pipeline (inch-Km),,
,,,,,, Total MWP Target,Pro-Rata Target,Achievement, Total MWP Target,Pro-Rata Target,Achievement, Total MWP Target,Pro-Rata Target,Achievement
52,8.01,South Goa District,Goa,Indian-Oil Adani Gas Private Limited,07-Feb-18,7592,7592,7657,NA,NA,7,698,698,828
53,8.02,Karnal District,Haryana,Indraprastha Gas Limited,08-Feb-18,14604,14604,36142,NA,NA,30,896,896,1732
54,8.03,Ambala & Kurukshetra Districts,Haryana,HPOIL Gas Private Limited,22-Feb-18,20624,20624,21005,NA,NA,31,1142,1142,1832
55,8.04,Kolhapur District,Maharashtra,HPOIL Gas Private Limited,06-Mar-18,38760,36822,38914,NA,NA,29,1800,1770,1921
56,8.05,Bulandshahr (part) District,Uttar Pradesh,Indian-Oil Adani Gas Private Limited,06-Mar-18,16026,16026,15816,NA,NA,21,759,759,989
57,8.06,Bagpat District,Uttar Pradesh,Bagpat Green Energy Private Limited,28-Mar-18,10496,10496,5418,NA,NA,13,650,650,630
58,9.01,"Srikakulam, Visakhapatnam & Vizianagaram Districts",Andhra Pradesh,Indian Oil Corporation Limited,01-03-2019,929842,185968,6282,211,63,23,2300,920,710
,,,,,(New start date,,,,,,,,,
,,,,,01.07.2021),,,,,,,,,
59,9.02,"Cachar, Hailakandi & Karimganj",Assam,Purba Bharti Gas Private Limited,27-09-2018,95001,19000,3235,21,6,1,751,300,294
,,Districts,,,(New start date,,,,,,,,,
,,,,,01.01.2022),,,,,,,,,
60,9.03,Kamrup & Kamrup Metropolitan,Assam,Purba Bharti Gas Private Limited,26-Sep-18,321001,112350,6175,51,27,4,961,625,362
,,Districts,,,,,,,,,,,,
61,9.04,"Aurangabad, Kaimur & Rohtas",Bihar,Indian Oil Corporation Limited,06-Sep-18,14271,4519,4605,12,6,16,800,493,577
,,Districts,,,,,,,,,,,,
62,9.05,Begusarai District,Bihar,Think Gas Begusarai Private Limited,20-Sep-18,169787,59425,7372,25,13,10,762,495,322
63,9.06,Gaya & Nalanda Districts,Bihar,Indian-Oil Adani Gas Private Limited,20-Sep-18,37591,13157,3724,46,24,25,1304,848,653
64,9.07,Diu and Gir Somnath Districts,Daman and Diu (UT) & Gujarat,IRM Energy  Limited,25-Sep-18,91000,31850,9330,35,18,17,188,122,100
65,9.08,Surendranagar District (EAAA)  ,Gujarat,Adani Total Gas Limited,17-Oct-18,87005,28277,2664,20,10,16,839,524,1132
66,9.09,Barwala & Ranpur Talukas,Gujarat,Adani Total Gas Limited,26-Sep-18,12098,4234,41,4,2,5,209,136,120
67,9.1,"Navsari District (EAAA), Surat District",Gujarat,Adani Total Gas Limited,26-Sep-18,90191,31567,4597,25,13,12,1010,657,552
,,"(EAAA), Tapi District (EAAA) & the Dangs District",,,,,,,,,,,,
68,9.11,Junagadh District,Gujarat,Torrent Gas Limited,13-Sep-18,77400,27090,13454,45,24,18,3186,2071,1621
69,9.12,Kheda District (EAAA) & Mahisagar,Gujarat,Adani Total Gas Limited,28-Sep-18,175007,61252,4589,30,16,27,1010,657,708
,,District,,,,,,,,,,,,
70,9.13,Narmada (Rajpipla) District,Gujarat,Gujarat Gas Limited,06-Sep-18,1750,613,4638,4,2,9,55,36,72
,,,,,,,,,,,,,,
